seq.pos	node.id	node.offset	coverage
99000	7351	38	4
99001	7351	39	4
99002	7351	40	4
99003	7351	41	4
99004	7351	42	4
99005	7351	43	4
99006	7351	44	4
99007	7351	45	4
99008	7351	46	2
99009	7351	47	2
99010	7351	48	2
99011	7351	49	3
99012	7351	50	3
99013	7351	51	30
99014	7351	52	3
99015	7351	53	3
99016	7351	54	3
99017	7351	55	3
99018	7351	56	3
99019	7351	57	3
99020	7351	58	3
99021	7351	59	3
99022	7351	60	3
99023	7351	61	2
99024	7351	62	3
99025	7351	63	3
99026	7351	64	3
99027	7351	65	4
99028	7351	66	4
99029	7351	67	31
99030	7351	68	4
99031	7351	69	4
99032	7351	70	30
99033	7351	71	3
99034	7351	72	3
99035	7351	73	3
99036	7351	74	4
99037	7351	75	4
99038	7351	76	4
99039	7351	77	4
99040	7351	78	4
99041	7351	79	4
99042	7351	80	4
99043	7351	81	13
99044	7351	82	18
99045	7351	83	8
99046	7351	84	11
99047	7351	85	16
99048	7351	86	7
99049	7351	87	8
99050	7351	88	4
99051	7351	89	4
99052	7351	90	5
99053	7351	91	5
99054	7351	92	7
99055	7351	93	7
99056	7351	94	7
99057	7351	95	8
99058	7351	96	7
99059	7351	97	7
99060	7351	98	7
99061	7351	99	7
99062	7352	0	7
99063	7353	0	0
99064	7354	0	7
99065	7354	1	7
99066	7354	2	7
99067	7354	3	7
99068	7354	4	7
99069	7354	5	6
99070	7355	0	6
99071	7356	0	0
99072	7357	0	6
99073	7357	1	6
99074	7357	2	6
99075	7357	3	6
99076	7357	4	6
99077	7357	5	6
99078	7357	6	6
99079	7357	7	6
99080	7357	8	5
99081	7357	9	5
99082	7357	10	5
99083	7357	11	6
99084	7357	12	6
99085	7357	13	6
99086	7357	14	6
99087	7357	15	6
99088	7357	16	6
99089	7357	17	7
99090	7357	18	5
99091	7357	19	5
99092	7357	20	4
99093	7357	21	4
99094	7357	22	4
99095	7357	23	4
99096	7357	24	4
99097	7357	25	4
99098	7357	26	3
99099	7357	27	4
99100	7357	28	4
99101	7357	29	4
99102	7357	30	4
99103	7357	31	4
99104	7357	32	4
99105	7357	33	5
99106	7357	34	5
99107	7357	35	5
99108	7357	36	5
99109	7357	37	5
99110	7357	38	5
99111	7357	39	5
99112	7357	40	5
99113	7357	41	5
99114	7358	0	5
99115	7359	0	0
99116	7360	0	5
99117	7360	1	4
99118	7360	2	5
99119	7360	3	4
99120	7360	4	5
99121	7360	5	5
99122	7360	6	5
99123	7360	7	5
99124	7360	8	5
99125	7360	9	4
99126	7360	10	4
99127	7360	11	4
99128	7360	12	4
99129	7360	13	4
99130	7360	14	4
99131	7360	15	3
99132	7360	16	3
99133	7360	17	3
99134	7360	18	2
99135	7360	19	2
99136	7360	20	3
99137	7360	21	3
99138	7360	22	3
99139	7360	23	3
99140	7360	24	3
99141	7360	25	2
99142	7360	26	2
99143	7360	27	2
99144	7360	28	2
99145	7360	29	2
99146	7360	30	2
99147	7360	31	1
99148	7360	32	2
99149	7360	33	2
99150	7360	34	2
99151	7360	35	2
99152	7360	36	2
99153	7360	37	2
99154	7360	38	2
99155	7360	39	2
99156	7360	40	2
99157	7360	41	2
99158	7360	42	2
99159	7360	43	2
99160	7360	44	2
99161	7360	45	2
99162	7360	46	2
99163	7360	47	2
99164	7360	48	2
99165	7360	49	2
99166	7360	50	2
99167	7360	51	2
