seq.pos	node.id	node.offset	coverage
0	1	0	4
1	1	1	4
2	1	2	4
3	1	3	4
4	1	4	4
5	1	5	4
6	1	6	4
7	1	7	4
8	1	8	2
9	1	9	2
10	1	10	2
11	1	11	3
12	1	12	3
13	1	13	30
14	1	14	3
15	1	15	3
16	1	16	3
17	1	17	3
18	1	18	3
19	1	19	3
20	1	20	3
21	1	21	3
22	1	22	3
23	1	23	2
24	1	24	3
25	1	25	3
26	1	26	3
27	1	27	4
28	1	28	4
29	1	29	31
30	1	30	4
31	2	0	4
32	3	0	30
33	3	1	3
34	3	2	3
35	3	3	3
36	3	4	4
37	3	5	4
38	3	6	4
39	3	7	4
40	3	8	4
41	3	9	4
42	4	0	4
43	4	1	13
44	4	2	18
45	4	3	8
46	4	4	11
47	4	5	16
48	4	6	7
49	4	7	8
50	4	8	4
51	4	9	4
52	4	10	5
53	4	11	5
54	4	12	7
55	5	0	7
56	6	0	7
57	6	1	8
58	6	2	7
59	6	3	7
60	6	4	7
61	6	5	7
62	6	6	7
63	6	7	0
64	6	8	7
65	6	9	7
66	6	10	7
67	6	11	7
68	6	12	7
69	6	13	6
70	6	14	6
71	6	15	0
72	6	16	6
73	6	17	6
74	6	18	6
75	6	19	6
76	6	20	6
77	6	21	6
78	6	22	6
79	6	23	6
80	6	24	5
81	6	25	5
82	6	26	5
83	6	27	6
84	6	28	6
85	6	29	6
86	6	30	6
87	6	31	6
88	6	32	6
89	6	33	7
90	7	0	5
91	8	0	5
92	8	1	4
93	9	0	4
94	10	0	4
95	11	0	4
96	11	1	4
97	11	2	4
98	11	3	3
99	11	4	4
100	11	5	4
101	11	6	4
102	11	7	4
103	11	8	4
104	11	9	4
105	11	10	5
106	11	11	5
107	11	12	5
108	11	13	5
109	11	14	5
110	11	15	5
111	11	16	5
112	12	0	5
113	12	1	5
114	13	0	5
115	14	0	0
116	15	0	5
117	15	1	4
118	15	2	5
119	15	3	4
120	15	4	5
121	15	5	5
122	15	6	5
123	15	7	5
124	15	8	5
125	15	9	4
126	15	10	4
127	15	11	4
128	15	12	4
129	15	13	4
130	15	14	4
131	15	15	3
132	15	16	3
133	15	17	3
134	15	18	2
135	15	19	2
136	15	20	3
137	15	21	3
138	15	22	3
139	15	23	3
140	15	24	3
141	15	25	2
142	15	26	2
143	15	27	2
144	15	28	2
145	15	29	2
146	15	30	2
147	15	31	1
148	15	32	2
149	15	33	2
150	15	34	2
151	15	35	2
152	15	36	2
153	15	37	2
154	16	0	2
155	17	0	2
156	17	1	2
157	17	2	2
158	17	3	2
159	17	4	2
160	17	5	2
161	17	6	2
162	17	7	2
163	17	8	2
164	17	9	2
165	17	10	2
166	17	11	2
167	17	12	2
168	17	13	2
169	17	14	2
170	17	15	2
171	17	16	2
172	17	17	2
173	17	18	2
174	17	19	2
175	17	20	3
176	17	21	3
177	17	22	2
178	17	23	3
179	17	24	3
180	17	25	4
181	17	26	4
182	17	27	4
183	17	28	5
184	17	29	5
185	17	30	5
186	17	31	5
187	17	32	5
188	17	33	5
189	17	34	5
190	18	0	4
191	19	0	4
192	19	1	4
193	19	2	4
194	19	3	5
195	19	4	0
196	19	5	5
197	19	6	5
198	19	7	5
199	19	8	6
200	19	9	6
201	19	10	6
202	19	11	6
203	19	12	6
204	19	13	7
205	19	14	7
206	19	15	7
207	19	16	7
208	19	17	7
209	19	18	7
210	19	19	7
211	19	20	7
212	19	21	7
213	20	0	7
214	20	1	7
215	20	2	9
216	20	3	9
217	21	0	9
218	21	1	8
219	21	2	8
220	21	3	9
221	21	4	8
222	21	5	8
223	21	6	8
224	21	7	8
225	21	8	8
226	21	9	7
227	21	10	7
228	21	11	0
229	21	12	0
230	21	13	0
231	21	14	0
232	21	15	8
233	21	16	8
234	21	17	8
235	21	18	7
236	21	19	8
237	21	20	8
238	21	21	8
239	21	22	8
240	21	23	8
241	21	24	8
242	21	25	0
243	21	26	8
244	21	27	8
245	21	28	8
246	21	29	8
247	21	30	8
248	21	31	8
249	21	32	8
250	21	33	8
251	21	34	9
252	21	35	8
253	21	36	9
254	21	37	9
255	21	38	9
256	21	39	9
257	21	40	9
258	21	41	9
259	21	42	11
260	21	43	11
261	22	0	9
262	23	0	9
263	23	1	9
264	23	2	9
265	23	3	10
266	23	4	9
267	23	5	9
268	23	6	9
269	23	7	9
270	23	8	8
271	23	9	9
272	23	10	9
273	23	11	9
274	23	12	9
275	23	13	8
276	23	14	8
277	23	15	7
278	24	0	8
279	25	0	7
280	25	1	7
281	25	2	7
282	25	3	6
283	25	4	6
284	25	5	34
285	25	6	7
286	25	7	8
287	25	8	8
288	25	9	8
